,Q1,Q2,Q3,Q4,Q5
EU,1.1290716153442917,1.054573197512329,0.9734838422004801,0.9669257766876559,0.9634310480269429
EN,4.540977218874893,1.2388437787851163,0.5441589682873039,0.631556799226573,0.7211484738560615
UE,1.0535609706636562,0.9210503646244554,1.0194510114299251,1.0273845302086928,1.0222693384770813
UN,1.5389577206704943,1.0374302390990588,0.8118830558750457,0.868896421012284,0.8038894855721671
NE,1.1565398027069123,1.3347359902758218,0.8866273885806336,0.6997391919806917,0.7291259346655016
NU,0.734254320946318,1.8739556710868643,1.1050462247807722,0.884833308364338,0.8269211035135925
EE,0.9308026092835542,0.9954293038607254,1.0088290385336953,1.0068175605132712,1.0057871671407999
UU,0.8748881836335035,1.0190540365456788,1.0308674924181769,1.0168716214172964,1.0315107031918462
NN,1.0020265010095695,0.973731596697829,1.0003872106895555,1.0093723979061833,1.0099230973184377
JJ,1.677268624522649,1.0120095643147589,0.922581886543349,0.9586373200344352,0.9491025852239402
